Program Name,Program Type,Size in Bytes
findusnoa2,a /usr/bin/sh script,675
findusnob1,a /usr/bin/sh script,796
findviking1,a /usr/bin/sh script,481
findwise,a /usr/bin/sh script,557
findwise0,a /usr/bin/sh script,557
findwise_pre,a /usr/bin/sh script,448
findwisep,a /usr/bin/sh script,557
FoX-config,a /usr/bin/sh script,2939
freesolid-config,a /usr/bin/sh script,927
freetype-config,a /usr/bin/sh script,4474
ftp-rfc,a /usr/bin/sh script,687
gacutil,a /usr/bin/sh script,82
gacutil2,a /usr/bin/sh script,82
gapi3-codegen,a /usr/bin/sh script,59
gapi3-fixup,a /usr/bin/sh script,57
gapi3-parser,a /usr/bin/sh script,94
gdb-add-index,a /usr/bin/sh script,4415
gendiff,a /usr/bin/sh script,507
getopts,a /usr/bin/sh script,35
gettext.sh,a /usr/bin/sh script,5191
glib-config,a /usr/bin/sh script,1971
glib-gettextize,a /usr/bin/sh script,5390
gnome-session,a /usr/bin/sh script,804
gnome-session-custom-session,a /usr/bin/sh script,57
gnome-shell-extension-prefs,a /usr/bin/sh script,663
gparted,a /usr/bin/sh script,6824
gpg-zip,a /usr/bin/sh script,3529
GraphicsMagick++-config,a /usr/bin/sh script,1120
GraphicsMagick-config,a /usr/bin/sh script,1125
GraphicsMagickWand-config,a /usr/bin/sh script,1243
grub2-kbdcomp,a /usr/bin/sh script,1672
gsnd,a /usr/bin/sh script,281
gstack,a /usr/bin/sh script,1068
gtk-config,a /usr/bin/sh script,2161
gtkdocize,a /usr/bin/sh script,4038
guild,a /usr/bin/sh script,2872
guild2.2,a /usr/bin/sh script,2875
gunzip,a /usr/bin/sh script,2350
gvimtutor,a /usr/bin/sh script,147
gvmap.sh,a /usr/bin/sh script,2194
gzexe,a /usr/bin/sh script,6380
hash,a /usr/bin/sh script,32
httpcfg,a /usr/bin/sh script,82
ibus-setup,a /usr/bin/sh script,1175
icu-config,a /usr/bin/sh script,205
ikdasm,a /usr/bin/sh script,81
install-catalog,a /usr/bin/sh script,4378
install-printerdriver,a /usr/bin/sh script,99
isc-config.sh,a /usr/bin/sh script,3421
ispell,a /usr/bin/sh script,992
java2html,a /usr/bin/sh script,51
jobs,a /usr/bin/sh script,32
jw,a /usr/bin/sh script,12742
kibitz,a /usr/bin/sh script,10890
koi8rxterm,a /usr/bin/sh script,3763
konsoleprofile,a /usr/bin/sh script,1273
lc,a /usr/bin/sh script,77
lesspipe.sh,a /usr/bin/sh script,3264
libmikmod-config,a /usr/bin/sh script,960
libpng16-config,a /usr/bin/sh script,2440
libreoffice,a /usr/bin/sh script,376
libwmf-fontmap,a /usr/bin/sh script,13344
libyui-terminal,a /usr/bin/sh script,1591
linux-boot-prober,a /usr/bin/sh script,5997
lneato,a /usr/bin/sh script,1551
lpunlock,a /usr/bin/sh script,2623
lsb_release,a /usr/bin/sh script,15933
lscat,a /usr/bin/sh script,853
Magick++-config,a /usr/bin/sh script,1452
Magick-config,a /usr/bin/sh script,1388
MagickCore-config,a /usr/bin/sh script,1426
MagickWand-config,a /usr/bin/sh script,1431
make-dummy-cert,a /usr/bin/sh script,614
manview,a /usr/bin/sh script,91
mbim-network,a /usr/bin/sh script,11347
mcheck,a /usr/bin/sh script,1683
mcomp,a /usr/bin/sh script,851
mconfig,a /usr/bin/sh script,82
mcs,a /usr/bin/sh script,78
mdassembler,a /usr/bin/sh script,299
mdoc,a /usr/bin/sh script,79
mdoc-assemble,a /usr/bin/sh script,38
mdoc-export-html,a /usr/bin/sh script,41
mdoc-export-msxdoc,a /usr/bin/sh script,43
mdoc-update,a /usr/bin/sh script,36
mdoc-validate,a /usr/bin/sh script,38
mdvalidater,a /usr/bin/sh script,48
mkfontdir,a /usr/bin/sh script,69
mkindex,a /usr/bin/sh script,1101
mkocp,a /usr/bin/sh script,175
mkofm,a /usr/bin/sh script,89
mkpasswd-expect,a /usr/bin/sh script,5709
mod,a /usr/bin/sh script,78
mono-service,a /usr/bin/sh script,1292
mono-service2,a /usr/bin/sh script,1292
monodocer,a /usr/bin/sh script,1102
monodocs2html,a /usr/bin/sh script,694
monodocs2slashdoc,a /usr/bin/sh script,44
mozroots,a /usr/bin/sh script,83
mxtar,a /usr/bin/sh script,788
nemo-preview,a /usr/bin/sh script,474
neqn,a /usr/bin/sh script,916
nroff,a /usr/bin/sh script,3285
nvlc,a /usr/bin/sh script,50
ocs,a /usr/bin/sh script,7263
oobase,a /usr/bin/sh script,43
oocalc,a /usr/bin/sh script,43
oodraw,a /usr/bin/sh script,43
ooffice,a /usr/bin/sh script,36
ooimpress,a /usr/bin/sh script,46
